Phi_1,Phi_2,DPhi_1,DPhi_2,DDPhi_1,t,wire_dist,overlap
1.8834590491483971,0.37858371520874634,-0.9997287857673204,-0.37733076427050505,27.458897485490013,1.0095,0.7827986270006895,
1.882958118221784,0.37839848152262523,-1.003994247462954,-0.3636053246053959,27.442764881201242,1.01,0.7818031913187093,
1.8824550555748272,0.3782201085317314,-1.0082556658002229,-0.34988799938930687,27.42643994195555,1.0105,0.7808056746778169,
1.8819498632312186,0.37804859215481945,-1.0125130327261394,-0.33617888466343726,27.409923171103685,1.0110000000000001,0.7798060928631162,
1.881442543218678,0.37788392826268635,-1.0167663401876825,-0.3224780762182002,27.393215068517975,1.0115,0.7788044616502179,
1.8809330975689507,0.37772611267829626,-1.0210155801317393,-0.3087856695949223,27.37631613060387,1.012,0.7778007968056484,
1.8804215283178083,0.37757514117690416,-1.025260744505028,-0.2951017600875993,27.359226850309483,1.0125,0.7767951140872649,
1.8799078375050493,0.3774310094861798,-1.0295018252540287,-0.28142644274460976,27.341947717137145,1.0130000000000001,0.7757874292446779,
1.8793920271745002,0.37729371328633,-1.0337388143249102,-0.2677598123704591,27.324479217154106,1.0135,0.7747777580196764,
1.8788740993740132,0.3771632482102194,-1.037971703663469,-0.2541019635274587,27.306821833003823,1.014,0.7737661161466514,
1.878354056155468,0.3770396098434923,-1.042200485215055,-0.24045299053745828,27.288976043917955,1.0145,0.7727525193530307,
1.8778318995747716,0.3769227937246913,-1.0464251509245073,-0.22681298748353768,27.2709423257283,1.0150000000000001,0.7717369833597157,
1.8773076316918595,0.3768127953453771,-1.050645692736077,-0.21318204821172695,27.252721150879182,1.0155,0.7707195238815201,
1.8767812545706948,0.3767096101502462,-1.0548621025933735,-0.1995602663326615,27.23431298843977,1.016,0.7697001566276143,
1.8762527702792684,0.3766132335372482,-1.0590743724392886,-0.1859477352232902,27.215718304117047,1.0165,0.7686788973019723,
1.8757221808896,0.3765236608577024,-1.063282494215934,-0.17234454802854138,27.196937560269134,1.0170000000000001,0.767655761603822,
1.87518948847774,0.37644088741641335,-1.0674864598645686,-0.15875079766301803,27.17797121591829,1.0175,0.7666307652281048,
1.8746546951237668,0.3763649084717855,-1.0716862613255425,-0.14516657681262607,27.15881972676482,1.018,0.7656039238659286,
1.8741178029117889,0.3762957192359371,-1.0758818905382277,-0.1315919779362562,27.139483545200946,1.0185,0.7645752532050311,
1.8735788139299463,0.37623331487481343,-1.0800733394409534,-0.11802709326742207,27.119963120325238,1.0190000000000001,0.7635447689302491,
1.8730377302704098,0.37617769050829886,-1.0842605999709365,-0.10447201481592792,27.100258897956692,1.0195,0.7625124867239829,
1.8724945540293814,0.37612884121032875,-1.0884436640642283,-0.09092683436946837,27.080371320649547,1.02,0.7614784222666703,
1.871949287307096,0.3760867620089995,-1.092622523655645,-0.07739164349528135,27.060300827708325,1.0205,0.760442591237263,
1.8714019322078201,0.3760514478866788,-1.0967971706787065,-0.06386653354175702,27.040047855203014,1.0210000000000001,0.7594050093137028,
1.870852490839856,0.3760228937801145,-1.1009675970655692,-0.050351595640075325,27.019612835984383,1.0215,0.758365692173409,
1.8703009653155385,0.376001094580543,-1.1051337947469733,-0.03684692070577562,26.998996199699825,1.022,0.7573246554937563,
1.869747357751238,0.37598604513379613,-1.1092957556521739,-0.023352599440378475,26.97819837280924,1.0225,0.75628191495257,
1.8691916702673605,0.3759777402404084,-1.1134534717088855,-0.00986872233296336,26.957219778601143,1.0230000000000001,0.7552374862286122,
1.868633904988349,0.3759761746557226,-1.1176069348432125,0.00360462033822569,26.936060837209006,1.0235,0.7541913850020787,
1.8680740640426832,0.3759813430899947,-1.121756136979601,0.017067338504242677,26.914721965627944,1.024,0.7531436269550957,
1.8675121495628815,0.37599324020849806,-1.1259010700407714,0.030519342303850668,26.893203577731516,1.0245,0.7520942277722177,
1.8669481636855014,0.37601186063162717,-1.130041725947662,0.04396054208197123,26.87150608428881,1.025,0.7510432031409342,
1.8663821085511396,0.3760371989350002,-1.1341780966193722,0.057390848388142485,26.849629892981625,1.0255,0.7499905687521693,
1.865813986304435,0.376069249649561,-1.1383101739730959,0.07081017197495587,26.827575408422057,1.026,0.7489363403007965,
1.8652437990940671,0.3761080072616799,-1.142437949924076,0.08421842379656158,26.80534303217007,1.0265,0.7478805334861438,
1.8646715490727592,0.3761534662132546,-1.1465614163855395,0.09761551500712298,26.782933162751448,1.027,0.7468231640125101,
1.8640972383972778,0.37620562090180953,-1.1506805652686456,0.11100135695931601,26.76034619567588,1.0275,0.7457642475896791,
1.8635208692284353,0.37626446568059474,-1.15479538848242,0.12437586120280188,26.73758252345533,1.028,0.7447037999334398,
1.8629424437310889,0.37632999485868396,-1.1589058779337125,0.13773893948276839,26.714642535622332,1.0285,0.7436418367661024,
1.8623619640741442,0.37640220270107233,-1.1630120255271335,0.15109050373842128,26.691526618749037,1.029,0.742578373817028,
1.861779432430554,0.3764810834287726,-1.1671138231650025,0.16443046610152037,26.6682351564655,1.0295,0.7415134268231456,
1.8611948509773217,0.3765666312189112,-1.171211262747288,0.17775873889488977,26.644768529479364,1.03,0.7404470115294859,
1.8606082218954998,0.3766588402048236,-1.1753043361715647,0.1910752346309968,26.621127115594703,1.0305,0.7393791436897068,
1.8600195473701937,0.3767577044761484,-1.179393035332951,0.20437986601048155,26.597311289731635,1.031,0.7383098390666261,
1.8594288295905617,0.37686321807892154,-1.183477352124062,0.2176725459207314,26.57332142394563,1.0315,0.7372391134327547,
1.8588360707498164,0.37697537501566875,-1.18755727843495,0.2309531874344302,26.54915788744779,1.032,0.736166982570833,
1.8582412730452254,0.37709416924549827,-1.1916328061530632,0.24422170380817626,26.524821046624254,1.0325,0.7350641363698334,
1.8576444386781144,0.3772195946841925,-1.195703927163187,0.2574780084810515,26.500311265056666,1.033,0.7339030913672488,
1.8570455698538662,0.37735164520429837,-1.1997706333473988,0.2707220150732359,26.475628903542372,1.0335,0.7327402290437752,
1.8564446687819243,0.377490314635218,-1.2038329165850075,0.28395363738459684,26.450774320114704,1.034,0.7315755664907843,
1.8558417376757925,0.37763559676329816,-1.2078907687525182,0.2971727893933477,26.425747870063674,1.0345,0.7304091208174719,
1.8552367787530377,0.3777874853319191,-1.2119441817235734,0.3103793852546576,26.400549905956666,1.035,0.7292409091514633,
1.8546297942352898,0.37794597404158253,-1.21599314736891,0.32357333929930726,26.375180777659295,1.0355,0.7280709486394127,
1.854020786348245,0.37811105654999894,-1.2200376575563028,0.33675456603231985,26.34964083235684,1.036,0.7268992564476094,
1.8534097573216655,0.3782827264721749,-1.2240777041505284,0.34992298013166123,26.323930414575102,1.0365,0.7257258497625818,
1.852796709389383,0.378460977380499,-1.2281132790133107,0.36307849644689205,26.298049866201495,1.037,0.7245507457917094,
1.8521816447892974,0.378645802804827,-1.2321443740032785,0.37622102999786566,26.271999526506818,1.0375,0.7233739617638257,
1.8515645657633821,0.37883719623256684,-1.2361709809759127,0.3893504959734018,26.245779732166966,1.038,0.7221955149298366,
1.8509454745576823,0.379035151108763,-1.2401930917835104,0.40246680973002974,26.219390817284534,1.0385,0.7210154225633246,
1.850324373422318,0.3792396608361799,-1.2442106982751358,0.41556988679068346,26.192833113410586,1.039,0.7198337019611702,
1.8497012646114854,0.37945071877538483,-1.2482237922965753,0.42865964284344327,26.16610694956654,1.0395,0.7186503704441614,
1.8490761503834594,0.3796683182448299,-1.2522323656902898,0.441735993740253,26.13921265226719,1.04,0.7174654453576149,
